Jun 26 09:30:44.586 INFO Delete: "pdf_viewer_resources.pak" (attempt 1)
Jun 26 09:30:44.586 INFO Delete: "resources" (attempt 1)
Jun 26 09:30:47.215 INFO Delete: "snapshot_blob.bin" (attempt 1)
Jun 26 09:30:47.215 INFO Delete: "ucrtbase.dll" (attempt 1)
Jun 26 09:30:47.215 INFO Delete: "ui_resources_200_percent.pak" (attempt 1)
Jun 26 09:30:47.215 INFO Delete: "vcruntime140.dll" (attempt 1)
Jun 26 09:30:47.215 INFO Delete: "views_resources_200_percent.pak" (attempt 1)
Jun 26 09:30:47.215 INFO Rename: "api-ms-win-core-console-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-datetime-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-debug-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-errorhandling-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-file-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-file-l1-2-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-file-l2-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-handle-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-heap-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-interlocked-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-libraryloader-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-localization-l1-2-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-memory-l1-1-0.dll" (attempt 1)
Jun 26 09:30:47.246 INFO Rename: "api-ms-win-core-namedpipe-l1-1-0.dll" (attempt 1)
